round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
532,0.6416,64.16,,6923.779878616333
533,0.6392,63.92,,6936.81277346611
534,0.6398,63.980000000000004,,6949.849567890167
535,0.6396,63.959999999999994,,6962.862788915634
536,0.6406,64.05999999999999,,6975.891275644302
537,0.6429,64.29,,6988.931576251984
538,0.6433,64.33,,7001.955210924149
539,0.6409,64.09,,7014.994048833847
540,0.6429,64.29,,7028.037852048874
541,0.6423,64.23,,7041.106541395187
542,0.6417,64.17,,7054.151753664017
543,0.6437,64.37,,7067.2002584934235
544,0.6426,64.25999999999999,,7080.236495256424
545,0.6417,64.17,,7093.291782140732
546,0.6431,64.31,,7106.333940505981
547,0.6418,64.18,,7119.383867263794
548,0.6456,64.56,,7132.41818189621
549,0.6418,64.18,,7145.43808889389
550,0.6437,64.37,,7158.494022846222
551,0.6451,64.51,,7171.546933412552
552,0.6435,64.35,,7184.582182407379
553,0.641,64.1,,7197.613320112228
554,0.6417,64.17,,7210.656465291977
555,0.6409,64.09,,7223.671436786652
556,0.6376,63.75999999999999,,7236.671124696732
557,0.6312,63.12,,7249.662592887878
558,0.6362,63.62,,7262.680867671967
559,0.6406,64.05999999999999,,7275.713384628296
560,0.644,64.4,,7288.743034601212
561,0.6374,63.739999999999995,,7301.7706780433655
562,0.635,63.5,,7314.805652618408
563,0.6319,63.190000000000005,,7327.809428215027
564,0.6359,63.59,,7340.8379855155945
565,0.6328,63.28,,7353.8534688949585
566,0.6441,64.41,,7366.86460351944
567,0.6341,63.41,,7379.917359113693
568,0.6291,62.91,,7392.950544834137
569,0.6305,63.05,,7405.955531835556
570,0.6376,63.75999999999999,,7418.99437379837
571,0.6294,62.94,,7432.034187793732
572,0.6198,61.980000000000004,,7445.043784618378
573,0.6316,63.160000000000004,,7458.0516011714935
574,0.6285,62.849999999999994,,7471.0686638355255
575,0.6211,62.11,,7484.126539707184
576,0.6284,62.839999999999996,,7497.165109157562
577,0.6216,62.160000000000004,,7510.1947655677795
578,0.6202,62.019999999999996,,7523.239209890366
579,0.6185,61.85000000000001,,7536.272611856461
580,0.6255,62.55,,7549.3132083415985
581,0.6336,63.36000000000001,,7562.325805187225
582,0.6231,62.31,,7575.371039390564
583,0.6311,63.11,,7588.392114877701
584,0.6294,62.94,,7601.39114522934
585,0.6228,62.28,,7614.427994251251
586,0.6204,62.03999999999999,,7627.4700038433075
587,0.6277,62.77,,7640.508991479874
588,0.6261,62.61,,7653.533421754837
589,0.6301,63.01,,7666.582218408585
590,0.6307,63.07000000000001,,7679.647308111191
591,0.6247,62.470000000000006,,7692.666814804077
